Date,Ideal Remaining,Actual Remaining
2025-09-02,149,149
2025-09-03,147.97,149
2025-09-04,146.94,149
2025-09-05,145.92,149
2025-09-06,144.89,149
2025-09-07,143.86,149
2025-09-08,142.83,149
2025-09-09,141.81,149
2025-09-10,140.78,146
2025-09-11,139.75,146
2025-09-12,138.72,139
2025-09-13,137.7,134
2025-09-14,136.67,134
2025-09-15,135.64,131
2025-09-16,134.61,126
2025-09-17,133.59,126
2025-09-18,132.56,126
2025-09-19,131.53,126
2025-09-20,130.5,126
2025-09-21,129.48,126
2025-09-22,128.45,126
2025-09-23,127.42,126
2025-09-24,126.39,126
2025-09-25,125.37,118
2025-09-26,124.34,118
2025-09-27,123.31,118
2025-09-28,122.28,118
2025-09-29,121.26,118
2025-09-30,120.23,118
2025-10-01,119.2,118
2025-10-02,118.17,113
2025-10-03,117.14,113
2025-10-04,116.12,113
2025-10-05,115.09,110
2025-10-06,114.06,110
2025-10-07,113.03,110
2025-10-08,112.01,110
2025-10-09,110.98,110
2025-10-10,109.95,107
2025-10-11,108.92,107
2025-10-12,107.9,107
2025-10-13,106.87,107
2025-10-14,105.84,104
2025-10-15,104.81,104
2025-10-16,103.79,104
2025-10-17,102.76,104
2025-10-18,101.73,99
2025-10-19,100.7,99
2025-10-20,99.68,99
2025-10-21,98.65,99
2025-10-22,97.62,99
2025-10-23,96.59,99
2025-10-24,95.57,99
2025-10-25,94.54,99
2025-10-26,93.51,99
2025-10-27,92.48,94
2025-10-28,91.46,91
2025-10-29,90.43,91
2025-10-30,89.4,91
2025-10-31,88.37,91
2025-11-01,87.34,83
2025-11-02,86.32,83
2025-11-03,85.29,83
2025-11-04,84.26,78
2025-11-05,83.23,60
2025-11-06,82.21,60
2025-11-07,81.18,55
2025-11-08,80.15,47
2025-11-09,79.12,47
2025-11-10,78.1,47
2025-11-11,77.07,47
2025-11-12,76.04,47
2025-11-13,75.01,47
2025-11-14,73.99,47
2025-11-15,72.96,47
2025-11-16,71.93,47
2025-11-17,70.9,47
2025-11-18,69.88,47
2025-11-19,68.85,47
2025-11-20,67.82,47
2025-11-21,66.79,47
2025-11-22,65.77,47
2025-11-23,64.74,47
2025-11-24,63.71,47
2025-11-25,62.68,47
2025-11-26,61.66,47
2025-11-27,60.63,47
2025-11-28,59.6,47
2025-11-29,58.57,47
2025-11-30,57.54,47
2025-12-01,56.52,47
2025-12-02,55.49,47
2025-12-03,54.46,47
2025-12-04,53.43,47
2025-12-05,52.41,47
2025-12-06,51.38,47
2025-12-07,50.35,47
2025-12-08,49.32,47
2025-12-09,48.3,47
2025-12-10,47.27,47
2025-12-11,46.24,47
2025-12-12,45.21,47
2025-12-13,44.19,47
2025-12-14,43.16,47
2025-12-15,42.13,47
2025-12-16,41.1,47
2025-12-17,40.08,47
2025-12-18,39.05,47
2025-12-19,38.02,47
2025-12-20,36.99,47
2025-12-21,35.97,47
2025-12-22,34.94,47
2025-12-23,33.91,47
2025-12-24,32.88,47
2025-12-25,31.86,47
2025-12-26,30.83,47
2025-12-27,29.8,47
2025-12-28,28.77,47
2025-12-29,27.74,47
2025-12-30,26.72,47
2025-12-31,25.69,47
2026-01-01,24.66,47
2026-01-02,23.63,47
2026-01-03,22.61,47
2026-01-04,21.58,47
2026-01-05,20.55,47
2026-01-06,19.52,47
2026-01-07,18.5,47
2026-01-08,17.47,47
2026-01-09,16.44,47
2026-01-10,15.41,47
2026-01-11,14.39,47
2026-01-12,13.36,47
2026-01-13,12.33,47
2026-01-14,11.3,47
2026-01-15,10.28,47
2026-01-16,9.25,47
2026-01-17,8.22,47
2026-01-18,7.19,47
2026-01-19,6.17,47
2026-01-20,5.14,47
2026-01-21,4.11,47
2026-01-22,3.08,47
2026-01-23,2.06,47
2026-01-24,1.03,47
2026-01-25,0,47
